feedback_id,feedback_text,category,department,rating,semester,student_type,predicted_category
1,Physics professors explain complex topics clearly but lab equipment is outdated.,Academics,Physics,3,Fall 2023,Undergraduate,Academics
2,New dorm buildings have great amenities but thin walls reduce privacy.,Facilities,Housing,4,Spring 2024,Freshman,Facilities
3,Financial aid office takes 3+ weeks to respond to urgent requests.,Administration,Financial Aid,1,Fall 2023,Transfer,Administration
4,International student orientation helped me settle in quickly.,Student Life,International Programs,5,Spring 2024,International,Student Life
5,Chemistry lab safety protocols are extremely thorough.,Academics,Chemistry,5,Fall 2023,Graduate,Administration
6,Library 24/7 access during finals week is a lifesaver.,Facilities,Library,5,Spring 2024,Senior,Student Life
7,Transcript requests require in-person visits - needs digital option.,Administration,Registrar,2,Fall 2023,Junior,Administration
8,Campus food trucks offer delicious diverse options.,Student Life,Dining,4,Spring 2024,Sophomore,Facilities
9,Computer science curriculum needs more AI/ML course options.,Academics,Computer Science,3,Fall 2023,Graduate,Academics
10,Dorm elevator outages leave disabled students stranded.,Facilities,Housing,1,Spring 2024,Freshman,Facilities
11,Career center's interview workshops improved my skills.,Student Life,Career Services,5,Fall 2023,Senior,Student Life
12,Math department tutoring center is understaffed.,Academics,Mathematics,2,Spring 2024,Sophomore,Facility
13,New football stadium has amazing seating but poor concessions.,Facilities,Athletics,3,Fall 2023,Undergraduate,Facilities
14,Scholarship portal crashes every deadline day.,Administration,Financial Aid,1,Spring 2024,Transfer,Administration
15,Theater department productions are Broadway-quality.,Student Life,Performing Arts,5,Fall 2023,Junior,Administration
16,Business school case studies feel 10 years outdated.,Academics,Business,2,Spring 2024,Graduate,Academics
17,Campus shuttle system is unreliable after 8pm.,Facilities,Transportation,2,Fall 2023,Freshman,Facility
18,Disability services quickly accommodated my needs.,Administration,Accessibility,5,Spring 2024,Senior,Student Life
19,Student-run hackathons have great industry sponsors.,Student Life,Clubs,5,Fall 2023,Undergraduate,Student Life
20,Psychology research opportunities exceed expectations.,Academics,Psychology,5,Spring 2024,Junior,Academics
21,Lecture hall projectors fail at least once per week.,Facilities,Classrooms,1,Fall 2023,Sophomore,Facility
22,Parking enforcement gives tickets too aggressively.,Administration,Public Safety,2,Spring 2024,Transfer,Administration
23,Campus gardens provide peaceful study spaces.,Student Life,Sustainability,4,Fall 2023,International,Facilities
24,Engineering capstone projects prepare you for real jobs.,Academics,Engineering,5,Spring 2024,Graduate,Student Life
25,Dorm heating fails during coldest winter weeks.,Facilities,Housing,1,Fall 2023,Freshman,Facility
26,Writing center helped me improve my thesis draft.,Student Life,Academic Support,5,Spring 2024,Senior,Facility
27,Economics professors use current global examples.,Academics,Economics,5,Fall 2023,Undergraduate,Academics
28,Science building restrooms are rarely cleaned.,Facilities,Science,1,Spring 2024,Junior,Facilities
29,Work-study paychecks are often delayed.,Administration,Financial Aid,2,Fall 2023,Sophomore,Administration
30,Cultural festivals showcase amazing diversity.,Student Life,Multicultural Affairs,5,Spring 2024,International,Student Life
31,Nursing clinical rotations are exceptionally organized.,Academics,Nursing,5,Fall 2023,Graduate,Administration
32,Wi-Fi drops constantly in humanities buildings.,Facilities,IT,1,Spring 2024,Freshman,Facilities
33,Honors program advisors provide personalized guidance.,Administration,Honors College,5,Fall 2023,Senior,Administration
34,Outdoor adventure club trips are unforgettable.,Student Life,Recreation,5,Spring 2024,Undergraduate,Student Life
35,Journalism department's equipment is industry-standard.,Academics,Journalism,5,Fall 2023,Junior,Administration
36,Cafeteria food quality declined this semester.,Student Life,Dining,2,Spring 2024,Sophomore,Facility
37,Philosophy debates challenge thinking profoundly.,Academics,Philosophy,5,Fall 2023,Graduate,Academics
38,Campus construction noise starts too early.,Facilities,Maintenance,2,Spring 2024,Transfer,Facilities
39,Alumni networking events led to my internship.,Student Life,Career Services,5,Fall 2023,Senior,Student Life
40,Statistics software licenses expire mid-semester.,Academics,Statistics,1,Spring 2024,Undergraduate,Administration
41,New student center has excellent study pods.,Facilities,Student Union,5,Fall 2023,Freshman,Facilities
42,Bursar's office still uses paper invoices.,Administration,Bursar,1,Spring 2024,Junior,Administration
43,Meditation rooms help manage exam stress.,Student Life,Wellness,5,Fall 2023,International,Facilities
44,Architecture studio spaces inspire creativity.,Academics,Architecture,5,Spring 2024,Graduate,Facility
45,Dorm laundry machines eat quarters frequently.,Facilities,Housing,2,Fall 2023,Sophomore,Administration
46,TA training doesn't cover grading consistency.,Administration,Academics,3,Spring 2024,Senior,Academics
47,Improv comedy club is the highlight of my week.,Student Life,Clubs,5,Fall 2023,Undergraduate,Student Life
48,Anthropology field trips are life-changing.,Academics,Anthropology,5,Spring 2024,Junior,Student Life
49,Lecture capture tech fails during important exams.,Facilities,IT,1,Fall 2023,Transfer,Academics
50,Parking ticket appeals take months to process.,Administration,Public Safety,1,Spring 2024,Freshman,Administration
51,Free flu shots at campus clinics are convenient.,Student Life,Health Services,4,Fall 2023,Graduate,Facility
52,Social work internships have strong community impact.,Academics,Social Work,5,Spring 2024,Senior,Student Life
53,Stair railings in older darts are dangerously loose.,Facilities,Housing,1,Fall 2023,International,Administration
54,Study abroad credit transfers are needlessly complex.,Administration,International Programs,2,Spring 2024,Undergraduate,Administration
55,Black Student Union events are empowering.,Student Life,Multicultural Affairs,5,Fall 2023,Junior,Student Life
56,Music practice rooms need better soundproofing.,Academics,Music,3,Spring 2024,Sophomore,Facilities
57,New basketball court has professional flooring.,Facilities,Athletics,5,Fall 2023,Graduate,Facilities
58,Double charges on meal plans take weeks to resolve.,Administration,Dining,1,Spring 2024,Freshman,Administration
59,Free professional headshots boosted my LinkedIn.,Student Life,Career Services,5,Fall 2023,Senior,Student Life
60,Linguistics department needs more faculty.,Academics,Linguistics,2,Spring 2024,Transfer,Academics
61,All-gender restrooms are well maintained.,Facilities,Student Union,5,Fall 2023,Undergraduate,Facilities
62,Major declaration process is confusing.,Administration,Academic Advising,2,Spring 2024,Junior,Administration
63,Farmers market has fresh organic produce.,Student Life,Sustainability,4,Fall 2023,International,Facility
64,Environmental science field equipment is outdated.,Academics,Environmental Science,2,Spring 2024,Graduate,Facility
65,Campus-wide printer outages happen too often.,Facilities,IT,1,Fall 2023,Sophomore,Administration
66,Disability accommodations are implemented promptly.,Administration,Accessibility,5,Spring 2024,Senior,Administration
67,Poetry slams draw standing-room-only crowds.,Student Life,Arts,5,Fall 2023,Freshman,Administration
68,Political science guest speakers are high-profile.,Academics,Political Science,5,Spring 2024,Undergraduate,Administration
69,Science building bathrooms lack basic supplies.,Facilities,Science,1,Fall 2023,Transfer,Facilities
70,Counseling center waitlists are 3+ weeks long.,Administration,Mental Health,2,Spring 2024,Junior,Administration
71,Marching band builds incredible school spirit.,Student Life,Athletics,5,Fall 2023,Graduate,Student Life
72,Creative writing workshops transformed my style.,Academics,English,5,Spring 2024,Senior,Student Life
73,Dorm common areas need more comfortable seating.,Facilities,Housing,3,Fall 2023,International,Facilities
74,Graduation clearance paperwork is excessive.,Administration,Registrar,1,Spring 2024,Sophomore,Administration
75,Sustainability club's initiatives make real impact.,Student Life,Sustainability,5,Fall 2023,Freshman,Administration
76,Astronomy telescopes need calibration.,Academics,Astronomy,3,Spring 2024,Undergraduate,Administration
77,New meditation room has ocean sound machines.,Facilities,Wellness,5,Fall 2023,Graduate,Facilities
78,Work-study payroll is frequently late.,Administration,Financial Aid,2,Spring 2024,Junior,Administration
79,Volunteer opportunities are well organized.,Student Life,Community Service,5,Fall 2023,Senior,Student Life
80,Nursing simulation labs are state-of-the-art.,Academics,Nursing,5,Spring 2024,Transfer,Facilities
81,Dorm kitchenettes lack basic cooking tools.,Facilities,Housing,2,Fall 2023,International,Facility
82,Honors thesis advisors are exceptionally supportive.,Administration,Honors College,5,Spring 2024,Graduate,Academics
83,Campus art walks showcase student talent.,Student Life,Arts,4,Fall 2023,Sophomore,Student Life
84,Journalism department's press passes open doors.,Academics,Journalism,5,Spring 2024,Freshman,Administration
85,Lecture hall chairs are painfully uncomfortable.,Facilities,Classrooms,1,Fall 2023,Undergraduate,Facilities
86,Parking permit system favors seniors unfairly.,Administration,Transportation,2,Spring 2024,Junior,Administration
87,Peer tutoring saved my calculus grade.,Student Life,Academic Support,5,Fall 2023,Senior,Academics
88,Music theory classes are unnecessarily difficult.,Academics,Music,2,Spring 2024,Graduate,Academics
89,New rock-climbing wall is professionally designed.,Facilities,Recreation,5,Fall 2023,Transfer,Facilities
90,Meal plan opt-out deadline is too early.,Administration,Dining,2,Spring 2024,International,Administration
91,Debate team travels to national competitions.,Student Life,Clubs,5,Fall 2023,Freshman,Student Life
92,Social work field placements are well-vetted.,Academics,Social Work,5,Spring 2024,Undergraduate,Administration
93,Gender-neutral housing options are inclusive.,Facilities,Housing,5,Fall 2023,Sophomore,Facility
94,Scholarship thank-you letters feel impersonal.,Administration,Development,3,Spring 2024,Junior,Student Life
95,Free resume critiques improved my job prospects.,Student Life,Career Services,5,Fall 2023,Senior,Student Life
96,History department's oral history projects fascinate.,Academics,History,5,Spring 2024,Graduate,Academics
97,Older dorm elevators break down weekly.,Facilities,Housing,1,Fall 2023,Transfer,Facilities
98,Academic probation notices lack guidance.,Administration,Academic Affairs,2,Spring 2024,International,Administration
99,Campus sunrise yoga classes are rejuvenating.,Student Life,Wellness,5,Fall 2023,Freshman,Student Life
100,Industrial engineering labs need equipment upgrades.,Academics,Engineering,3,Spring 2024,Undergraduate,Facility
101,The astronomy observatory has outdated telescopes but passionate instructors.,Academics,Astronomy,3,Fall 2023,Undergraduate,Student Life
102,New science building's glass walls create distracting glare.,Facilities,Science,2,Spring 2024,Graduate,Facility
103,Veteran services office processes GI Bill payments slowly.,Administration,Veteran Affairs,2,Fall 2023,Transfer,Administration
104,Quidditch club tournaments are surprisingly competitive.,Student Life,Clubs,5,Spring 2024,Freshman,Student Life
105,Marketing professors bring real corporate experience.,Academics,Business,5,Fall 2023,Senior,Academics
106,Dorm fire alarms trigger from shower steam.,Facilities,Housing,1,Spring 2024,Sophomore,Administration
107,Internship credit approval requires excessive paperwork.,Administration,Academic Advising,2,Fall 2023,Junior,Administration
108,Free midnight breakfast during finals reduces stress.,Student Life,Dining,5,Spring 2024,International,Student Life
109,Neuroscience research opportunities attract top students.,Academics,Psychology,5,Fall 2023,Graduate,Academics
110,Art studio kilns break down mid-semester.,Facilities,Arts,2,Spring 2024,Undergraduate,Facilities
111,Campus safety escorts respond within 5 minutes.,Administration,Public Safety,5,Fall 2023,Freshman,Administration
